"QUANTIN","QUANTIN"
"Harr","Tromso 2"
"Herbst O.","Herbst"
"Su GZ","Tai Nan"
"MALADA","LAVAZZA"
"RASMUSSEN","DENMARK"
"Niekawa","Japan"
"J.Grue","USA Cheek"
"Kamil","Sherman npc"
"Shen JX","Ping An Club"
"T.BESSIS","ZALESKI"
"Gromova","GRNC Russia"
"Heads","Budkin"
"C Hughes","Gaspar"
"Sacul","INDONESIA"
"Wang YW","Sheng Tao Sha"
"Z.Marcinsk","Canada"
"FRACTMAN","SPAIN"
"JAGNIEWSKI","ROSSARD"
"Heshmat","EGYPT"
"CIMON","CANADA"
"Stoppa","DELFOUR"
"Eisenberg","Izisel"
"Todorovic","Serbia"
"Vucic","Serbia"
"Liao Y","Hong Kong"
"Bentzen","Norway"
"M.Whibley","New Zealand"
"JP Campos","JEOVANI"
"Stretz","PIGANEAU"
"LEENHARDT ","LEENHARDT"
"Eglseer","AUSTRIA"
"BOMPIS Mar","FRANCE"
"Buras","Team 2"
"PangKerego","Indonesia"
"BUDI","BANTEN"
"Bessis T","BESSIS"
"Shanurin","Team 1"
"STANSBY","EKEBLAD"
"Wu ShangJi","Beijing Xinyuan"
"Asbury","Lien"
"Hop","Netherlands blue"
"Raynaud","Caen B.C."
"Campbell","The Werewolves"
"Sandquist","Sandqvist"
"Hyett","England"
"LAURIA C.","LAURIA"
"Barbosa","PORTUGAL"
"Markovics","Jacobs"
"Lindop","Kovacich"
"North","GREENBERG"
"Sun SL","Beijing Capital"
"","Zhongjian"
"Whyte","New Zealand"
"Unver","Ergil"
"Armannsson","Iceland"
"D Greenw'd","North Ire"
"Ferraro","Gr.Sp.Ass. Allegra"
"G. Manna","JPGoenka"
"Capal","Team 2"
"E Graca","China Hongkong"
"BASABE","SPAIN"
"Hocheker","HAUGE"
"Helgemo","NORWAY"
"BRENNER","LANCIANO"
"Yigal Ofek","Ofek Tal"
"Lofgren","Salokin"
"Armstrong","Hackett"
"REHDER","Germany"
"Van Munnen A","NET"
"Birman A.","Lengy"
"ROY","India"
"Houmoller","Denmark"
"D'OVIDIO C","FRANCE"
"Chan Yiu","HK Joanthan"
"FREEMAN","Nickell"
"chevylove","FJU"
"Li QL","Pu Dong Pu Fa"
"ADRIANO","P BRUM"
"De St Mari","TOFFIER"
"Toffier","BESSIS"
"MESTRES","SPAIN"
"Bardon","Queensland"
"Prooijen","NEDUK"
"Oikonomo","Altinis"
"Zhang BX","Shen Zhen Ping An"
"Dyke","OzOne-Neill"
"Paterson","Gold Cup"
"Bosenberg","Karamanlis"
"Lund Madsen M","Denmark"
"Luo YF","Guizhou"
"FANTONI","FANTONAKIS"
"Shiga","Japan"
"Howard","VIC"
"Schaffer","DENMARK"
"Honti","Harangozo"
"BIRMAN","Israel"
"Zia","Scientists (Zia)"
"MADALA","LAVAZZA 1"
"SUMMERS-CA","CANADA"
"Maripuu","ESTONIA"
"Montin","USA"
"Ewart","Melbourne"
"BARCZY. P","HUNGARY"
"Wang LS","Jin Fu"
"Dong","China"
"Pasman J","Netherlands"
"JACOBS","CAYNE"
"B.Hamman","USA2"
"Gotthard","HUNGARY"
"GAVEL W","MARTENS"
"BESSIS","FRANCE"
"GAWRYS","POLAND Wroclaw"
"Mirabeau","CHAGAS"
"Serf","Serf"
"Mayefsky","Chubukov"
"Drijver","Welland"
"Molson","USA"
"ZHANG","CHINA"
"de Pagter","Netherlands Blue"
"S_Libster","ISRAEL"
"Kowalczyk","WITEK"
